language,license,rightsHolder,datasetID,institutionCode,datasetName,taxonID,scientificName,kingdom,phylum,class,order,family,genus,taxonRank,nomenclaturalCode
en,https://creativecommons.org/licenses/by/4.0/,,my_dataset_doi,,Checklist of alien fungi in Portugal,alien-fungi-portugal:taxon:34ce5f9601fc24c569d68a6e0dc68559,Leucocoprinus birnbaumii (Corda) Singer,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Agaricaceae,Leucocoprinus,species,ICN
en,https://creativecommons.org/licenses/by/4.0/,,my_dataset_doi,,Checklist of alien fungi in Portugal,alien-fungi-portugal:taxon:4124db2cb86d7d7d2f746689471a842b,Laccaria fraterna (Sacc.) Pegler,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Hydnangiaceae,Laccaria,species,ICN
en,https://creativecommons.org/licenses/by/4.0/,,my_dataset_doi,,Checklist of alien fungi in Portugal,alien-fungi-portugal:taxon:45c9da42daff6c0c654564bf15ebb9c6,Xylobolus illudens (Berk.) Boidin,Fungi,Basidiomycota,Agaricomycetes,Russulales,Stereaceae,Xylobolus,species,ICN
en,https://creativecommons.org/licenses/by/4.0/,,my_dataset_doi,,Checklist of alien fungi in Portugal,alien-fungi-portugal:taxon:4b1c3c29333bdc4f7646aa7c20b20a29,Aseroe rubra Labill.,Fungi,Basidiomycota,Agaricomycetes,Phallales,Phallaceae,Aseroe,species,ICN
en,https://creativecommons.org/licenses/by/4.0/,,my_dataset_doi,,Checklist of alien fungi in Portugal,alien-fungi-portugal:taxon:4bc6063bbe08a9a9f0961a060c2c9327,Erysiphe howeana U.Braun,Fungi,Ascomycota,Leotiomycetes,Helotiales,Erysiphaceae,Erysiphe,species,ICN
en,https://creativecommons.org/licenses/by/4.0/,,my_dataset_doi,,Checklist of alien fungi in Portugal,alien-fungi-portugal:taxon:52649f629ee7cb940edc8fa20b9951c4,"Batrachochytrium dendrobatidis Longcore, Pessier & D.K.Nichols",Fungi,Chytridiomycota,Rhizophydiomycetes,Rhizophydiales,Batrachochytriaceae,Batrachochytrium,species,ICN
en,https://creativecommons.org/licenses/by/4.0/,,my_dataset_doi,,Checklist of alien fungi in Portugal,alien-fungi-portugal:taxon:72f0b401ce5cf8c748b0ef8992343745,Cortinarius clelandii A.H.Sm.,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Cortinariaceae,Cortinarius,species,ICN
en,https://creativecommons.org/licenses/by/4.0/,,my_dataset_doi,,Checklist of alien fungi in Portugal,alien-fungi-portugal:taxon:8d8622d1a41db21f5509af18175eee9d,Clathrus archeri (Berk.) Dring,Fungi,Basidiomycota,Agaricomycetes,Phallales,Phallaceae,Clathrus,species,ICN
en,https://creativecommons.org/licenses/by/4.0/,,my_dataset_doi,,Checklist of alien fungi in Portugal,alien-fungi-portugal:taxon:ab0c06d84438569d9cf363c4487543d3,Favolaschia claudopus (Singer) Q.Y.Zhang & Y.C.Dai,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Mycenaceae,Favolaschia,species,ICN
en,https://creativecommons.org/licenses/by/4.0/,,my_dataset_doi,,Checklist of alien fungi in Portugal,alien-fungi-portugal:taxon:e0a5b0b172f76cec5e1c81295df9f89a,Pleurotus citrinopileatus Singer,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Pleurotaceae,Pleurotus,species,ICN
en,https://creativecommons.org/licenses/by/4.0/,,my_dataset_doi,,Checklist of alien fungi in Portugal,alien-fungi-portugal:taxon:e4938d18d7b55c89e1ab8834e9ebc3c9,Leratiomyces ceres (Cooke & Massee) Spooner & Bridge,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Strophariaceae,Leratiomyces,species,ICN
